,pdb_name,has_sugar_names,has_L,has_D,type
0,148L,True,False,True,N-ACETYL-D-GLUCOSAMINE
1,154L,True,False,True,N-ACETYL-D-GLUCOSAMINE
2,1A0H,True,False,True,N-ACETYL-D-GLUCOSAMINE
3,1A14,True,False,True,N-ACETYL-D-GLUCOSAMINE
4,1A14,True,False,True,BETA-D-MANNOSE
5,1A14,True,False,True,ALPHA-D-MANNOSE
6,1A14,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
7,1A39,True,False,True,N-ACETYL-D-GLUCOSAMINE
8,1A3K,True,False,True,BETA-D-GALACTOSE
9,1A3K,True,False,True,N-ACETYL-D-GLUCOSAMINE
10,1A47,True,False,True,ALPHA-D-GLUCOSE
11,1A47,True,False,True,6-DEOXY-ALPHA-D-GLUCOSE
12,1A4G,True,False,True,N-ACETYL-D-GLUCOSAMINE
13,1A4Q,True,False,True,N-ACETYL-D-GLUCOSAMINE
14,1A65,True,False,True,N-ACETYL-D-GLUCOSAMINE
15,1A6A,True,False,True,N-ACETYL-D-GLUCOSAMINE
16,1A7C,True,False,True,N-ACETYL-D-GLUCOSAMINE
17,1A7S,True,False,True,N-ACETYL-D-GLUCOSAMINE
18,1A8I,True,False,True,BETA-D-GLUCOPYRANOSE SPIROHYDANTOIN
19,1A9Y,True,False,False,URIDINE-5'-DIPHOSPHATE-GLUCOSE
20,1A9Z,True,False,False,URIDINE-5'-DIPHOSPHATE-GLUCOSE
21,1AA5,True,False,True,BETA-D-GLUCOSE
22,1ABR,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
23,1ABR,True,True,False,2-(ACETYLAMINO)-2-DEOXY-ALPHA-L-GLUCOPYRANOSE
24,1ABR,True,False,True,ALPHA-D-MANNOSE
25,1ABR,True,False,True,BETA-D-MANNOSE
26,1ABR,True,False,True,BETA-D-GLUCOSE
27,1AC0,True,False,True,ALPHA-D-GLUCOSE
28,1AC0,True,False,True,BETA-D-GLUCOSE
29,1AC0,True,False,False,D-GLUCOSE IN LINEAR FORM
30,1AC5,True,False,True,N-ACETYL-D-GLUCOSAMINE
31,1ACZ,True,False,True,ALPHA-D-GLUCOSE
32,1AE5,True,False,True,N-ACETYL-D-GLUCOSAMINE
33,1AE8,True,False,True,N-ACETYL-D-GLUCOSAMINE
34,1AF6,True,False,True,ALPHA-D-GLUCOSE
35,1AFA,True,False,False,METHYL-BETA-GALACTOSE
36,1AFB,True,False,True,N-ACETYL-D-GALACTOSAMINE
37,1AFE,True,False,True,N-ACETYL-D-GLUCOSAMINE
38,1AGM,True,False,True,N-ACETYL-D-GLUCOSAMINE
39,1AGM,True,False,True,BETA-D-MANNOSE
40,1AGM,True,False,True,ALPHA-D-MANNOSE
41,1AH1,True,False,True,N-ACETYL-D-GLUCOSAMINE
42,1AH1,True,True,False,BETA-L-FUCOSE
43,1AH1,True,False,True,BETA-D-MANNOSE
